targ, n_exp, mean_mag_weighted, std, WS_index, chi2
SDSSJ131445.050-031415.588, 40, 15.13, 0.04, 3.11, 5.04
SDSSJ102430.93-003207.0, 25, 14.57, 0.03, 2.52, 4.48
SDSSJ111127.30+395628.0, 18, 15.4, 0.02, 1.31, 1.78
SDSSJ120650.504+020143.810, 37, 14.21, 0.04, 2.36, 6.93
SDSSJ024854.96+334548.3, 30, 14.46, 0.04, 1.36, 1.9
SDSSJ111059.42-170954.2, 39, 14.53, 0.04, 2.24, 6.15
SDSSJ155745.40+554609.7, 21, 13.92, 0.02, 1.22, 1.3
SDSSJ121405.11+453818.5, 6, 14.57, 0.02, 1.27, 1.85
SDSSJ081508.78+073145.7, 51, 15.65, 0.07, 1.24, 2.4
SDSSJ232941.330+001107.755, 31, 14.03, 0.03, 1.28, 2.59
SDSSJ010322.19-002047.7, 39, 14.25, 0.04, 2.09, 4.37
SDSSJ130234.43+101238.9, 29, 14.41, 0.04, 3.41, 7.27
WD0554-165, 44, 14.06, 0.05, 3.98, 14.68
SDSSJ210150.65-054550.9, 21, 97.66, 17.42, 2.3, 29696915.73
SDSSJ022817.16-082716.4, 58, 15.39, 0.06, 1.89, 3.61
SDSSJ072752.76+321416.1, 27, 14.32, 0.02, 0.89, 0.83
SDSSJ172135.97+294016.0, 28, 15.18, 0.03, 1.34, 1.41
SDSSJ163800.360+004717.822, 19, 14.15, 0.04, 2.36, 4.35
SDSSJ041053.632-063027.580, 48, 16.28, 0.04, 1.85, 3.52
SDSSJ151421.27+004752.8, 30, 13.59, 0.02, 2.48, 5.78
SDSSJ181424.075+785403.048, 18, 13.77, 0.02, 0.83, 1.64
SDSSJ235144.29+375542.6, 40, 14.83, 0.01, 1.01, 1.02
SDSSJ20372.169-051302.964, 20, 14.74, 0.04, 3.35, 6.9
