#mjd, mag, mag_err
57804.3359811,14.578,0.0184
57713.3286647,14.5862,0.0216
57713.3305863,14.6327,0.0176
57713.3324996,14.6172,0.0236
57810.2258847,14.5435,0.0184
57810.2278292,14.5305,0.0168
57810.229782,14.5426,0.0192
57813.9861815,14.5153,0.0186
57813.9881072,14.58,0.0238
57813.9900412,14.5003,0.0131
57955.3719848,14.5426,0.0143
57955.3752562,14.5578,0.0148
57955.378526,14.5321,0.0143
57957.370395,14.5438,0.0166
57957.3736638,14.5542,0.0145
57814.6032124,14.5275,0.0141
57814.6051302,14.5541,0.0152
57814.607057,14.5085,0.0119
57832.1656871,14.5052,0.012
57832.1676076,14.521,0.0149
57832.1695282,14.5,0.0164
58077.3215768,14.526,0.0117
58077.3248357,14.5359,0.0119
58077.3281029,14.5289,0.012
58083.3060709,14.5266,0.0127
58083.3093351,14.54,0.012
58083.312594,14.5326,0.0123
57772.0761201,14.4925,0.0168
57772.0780412,14.4679,0.0169
57772.079963,14.487,0.0179
57813.9613234,14.4841,0.0171
57813.9632478,14.5111,0.0149
57813.9651798,14.4587,0.014
57813.9781439,14.4963,0.0145
57813.9800705,14.5151,0.0161
57813.9820166,14.469,0.0146
57815.9558187,14.4925,0.0134
57815.9577455,14.4653,0.0127
57815.9596747,14.4608,0.0133
