#mjd, mag, mag_err
57998.4025949,13.617,0.0112
58139.4748151,13.5988,0.01
58139.4758004,13.6137,0.0111
58139.4767973,13.6291,0.0095
58175.0349172,13.5896,0.0101
58175.0359141,13.589,0.01
58175.0369111,13.5798,0.01
57958.4399234,13.5906,0.0127
57958.4408769,13.5989,0.0098
57958.4418347,13.5891,0.0096
57995.3891075,13.62,0.014
57995.3900581,13.5968,0.0124
57995.3910202,13.614,0.0131
57981.4472798,13.6321,0.0114
57981.4482427,13.6161,0.0085
57981.4492057,13.6256,0.0084
57998.403557,13.6421,0.011
57998.4045307,13.6171,0.0128
57990.0136612,13.5724,0.0075
57990.0146093,13.5917,0.0072
57990.0155534,13.5811,0.0077
57961.8153645,13.5631,0.0083
57961.8163263,13.5634,0.0081
57961.8172896,13.5651,0.0085
57967.752214,13.5711,0.013
57967.7531644,13.5553,0.0116
57967.7541147,13.5494,0.013
57986.7627195,13.5867,0.0093
57986.7636677,13.589,0.0098
57986.7646159,13.5741,0.01
