#mjd, mag, mag_err
57726.34309,14.068,0.0156
57722.3400095,14.0909,0.0134
57722.3423151,14.0753,0.0139
57722.3446228,14.0865,0.0131
57726.3384797,14.0751,0.016
57726.3407821,14.0739,0.0122
57742.2947389,14.0763,0.0138
57742.2970406,14.0835,0.0123
57742.2993444,14.0593,0.015
57725.3315942,14.0883,0.0114
57725.3339027,14.1117,0.0139
57725.3362231,14.1245,0.0114
57726.2173545,14.1073,0.0134
57726.2196637,14.1101,0.0128
57726.2219856,14.0983,0.0142
57726.226843,14.1285,0.0137
57726.2291546,14.1151,0.0139
57726.2314699,14.099,0.0151
57726.2365718,14.1088,0.0149
57726.2388763,14.1058,0.0139
57726.2411836,14.1127,0.0138
57726.3483395,14.0868,0.0114
57726.3506607,14.0835,0.0171
57726.3529704,14.0496,0.0151
57752.2600387,14.0853,0.0113
57752.2623492,14.0978,0.0114
57713.2720205,14.0396,0.0155
57713.2743393,14.0431,0.0144
58013.7173139,14.0482,0.0126
58013.7203885,14.0286,0.0131
58013.7234745,14.0504,0.0118
57977.7901315,14.0643,0.0165
57977.793214,14.0331,0.0169
57977.796287,14.0493,0.0193
57723.9886517,13.9775,0.0092
57723.9909663,13.974,0.0108
57723.9932758,13.9656,0.0109
57727.9777091,13.9827,0.012
57787.8137655,13.9926,0.0133
57787.8160872,13.9943,0.0141
57787.8184048,13.9824,0.0121
58049.9488626,14.0056,0.014
58049.9519227,14.0073,0.013
58049.9549945,13.9965,0.0135
