#target, label, flag, probability, period
SDSSJ072752.76+321416.1, NonVar ,1 ,0.76, 0.03149516790219923
SDSSJ081508.78+073145.7, NonVar ,1 ,0.81, 0.039959486294853186
WD0554-165, DSCT ,1 ,0.6, 0.1292449036468342
SDSSJ120650.504+020143.810, RRL_c ,1 ,0.19, 0.3631023693670038
SDSSJ024854.96+334548.3, NonVar ,1 ,0.55, 0.19749054584234724
SDSSJ131445.050-031415.588, DSCT ,1 ,0.5, 0.05252820445037339
SDSSJ20372.169-051302.964, DSCT ,1 ,0.59, 0.09141998996630259
SDSSJ041053.632-063027.580, NonVar ,1 ,0.42, 0.046316543228514466
SDSSJ155745.40+554609.7, DSCT ,1 ,0.42, 0.16567579506335767
SDSSJ181424.075+785403.048, LPV_SRV_AGB_O ,0 ,0.24, 87.15366060000815
SDSSJ151421.27+004752.8, DSCT ,1 ,0.37, 0.07153136978203517
SDSSJ111127.30+395628.0, DSCT ,1 ,0.48, 0.04988240700396168
SDSSJ172135.97+294016.0, NonVar ,1 ,0.47, 0.030074911432268658
SDSSJ163800.360+004717.822, EB_ESD ,1 ,0.37, 0.07982761018039361
SDSSJ210150.65-054550.9, EB_ED ,1 ,0.37, 0.4115291662100511
SDSSJ102430.93-003207.0, EB_ESD ,1 ,0.6, 0.5921996038343612
SDSSJ232941.330+001107.755, EB_ED ,1 ,0.44, 0.12803580900965683
SDSSJ111059.42-170954.2, DSCT ,1 ,0.48, 0.20302758147064426
SDSSJ010322.19-002047.7, EB_ESD ,1 ,0.64, 1.0875463877798495
SDSSJ022817.16-082716.4, DSCT ,1 ,0.6, 0.1678074424972251
SDSSJ130234.43+101238.9, RRL_ab ,1 ,0.3, 0.9894596164397965
